	S1	S2	S3	S4	S1	S2	S3	S4	S1	S2	S3	S4	S1	S2	S3	S4	S1	S2	S3	S4	S1	S2	S3	S4	S1	S2	S3	S4	
n1	1	0	1	1	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	
n2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	
n3	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	
n4	1	0	1	1	0	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	0	0	0	
n5	1	0	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	
n6	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	1	0	1	1	
n7	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	0	1	
n8	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	
n9	1	0	1	0	1	1	1	1	0	1	0	1	0	1	1	1	0	1	1	0	0	1	1	0	1	1	0	1	
n10	0	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	0	1	0	1	
n11	1	0	1	0	1	0	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1	
n12	1	0	1	1	0	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	1	0	1	1	1	0	1	1	
n13	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	
n14	1	0	1	1	1	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	0	1	0	0	0	
n15	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	
n16	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	0	1	1	1	0	1	1	1	
n17	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	1	1	1	
n18	1	1	1	1	0	1	0	0	1	0	1	1	0	1	1	1	0	0	1	0	1	0	0	0	1	0	0	0	
n19	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	0	1	0	0	1	1	1	
n20	1	0	1	1	0	1	1	1	1	0	0	1	1	0	1	0	1	0	1	0	0	1	0	1	0	1	1	1	
n21	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	
n22	1	0	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	0	0	1	1	1	
n23	1	0	1	0	1	1	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	1	1	1	1	1	1	1	
n24	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	1	1	1	
n25	1	1	0	1	1	1	0	0	1	0	1	0	1	0	1	1	1	0	1	1	0	0	0	1	1	0	0	0	
73	2	2	2	2	2	2	2	2	2	1	2	3	2	3	2	2	1	1	1	1	2	2	1	2	1	
711	42	6	7	44	40	61	60	15	47	22	42	42	33	45	15	51	32	16	18	47	41	49	45	21	30	
